YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2015,AK,Total Electric Power Industry,Total,"6,284,937"
2015,AK,Total Electric Power Industry,Coal,"667,549"
2015,AK,Total Electric Power Industry,Hydroelectric Conventional,"1,568,929"
2015,AK,Total Electric Power Industry,Natural Gas,"3,089,713"
2015,AK,Total Electric Power Industry,Other,"-2,407"
2015,AK,Total Electric Power Industry,Petroleum,"746,567"
2015,AK,Total Electric Power Industry,Other Biomass,"54,892"
2015,AK,Total Electric Power Industry,Wind,"159,694"
2015,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2015,AK,"Combined Heat and Power, Industrial Power",Total,"120,889"
2015,AK,"Combined Heat and Power, Industrial Power",Natural Gas,"70,301"
2015,AK,"Combined Heat and Power, Industrial Power",Petroleum,"45,827"
2015,AK,"Combined Heat and Power, Industrial Power",Other Biomass,"4,761"
2015,AK,"Combined Heat and Power, Commercial Power",Total,"164,763"
2015,AK,"Combined Heat and Power, Commercial Power",Coal,"108,903"
2015,AK,"Combined Heat and Power, Commercial Power",Natural Gas,1
2015,AK,"Combined Heat and Power, Commercial Power",Petroleum,"5,728"
2015,AK,"Combined Heat and Power, Commercial Power",Other Biomass,"50,131"
2015,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2015,AK,"Combined Heat and Power, Electric Power",Total,"198,296"
2015,AK,"Combined Heat and Power, Electric Power",Coal,"198,296"
2015,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2015,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2015,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2015,AK,"Electric Generators, Independent Power Producers",Total,"54,562"
2015,AK,"Electric Generators, Independent Power Producers",Wind,"54,562"
2015,AK,"Electric Generators, Electric Utilities",Total,"5,746,428"
2015,AK,"Electric Generators, Electric Utilities",Coal,"360,351"
2015,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,568,929"
2015,AK,"Electric Generators, Electric Utilities",Natural Gas,"3,019,411"
2015,AK,"Electric Generators, Electric Utilities",Other,"-2,407"
2015,AK,"Electric Generators, Electric Utilities",Petroleum,"695,012"
2015,AK,"Electric Generators, Electric Utilities",Wind,"105,132"
2015,AL,Total Electric Power Industry,Total,"152,477,427"
2015,AL,Total Electric Power Industry,Coal,"41,410,429"
2015,AL,Total Electric Power Industry,Hydroelectric Conventional,"9,861,804"
2015,AL,Total Electric Power Industry,Natural Gas,"55,844,457"
2015,AL,Total Electric Power Industry,Nuclear,"41,951,382"
2015,AL,Total Electric Power Industry,Other Gases,"35,862"
2015,AL,Total Electric Power Industry,Other,0
2015,AL,Total Electric Power Industry,Petroleum,"84,208"
2015,AL,Total Electric Power Industry,Other Biomass,"43,630"
2015,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,"3,245,654"
2015,AL,"Combined Heat and Power, Industrial Power",Total,"4,216,916"
2015,AL,"Combined Heat and Power, Industrial Power",Coal,"99,397"
2015,AL,"Combined Heat and Power, Industrial Power",Natural Gas,"1,027,170"
2015,AL,"Combined Heat and Power, Industrial Power",Other Gases,"35,862"
2015,AL,"Combined Heat and Power, Industrial Power",Other,0
2015,AL,"Combined Heat and Power, Industrial Power",Petroleum,"20,931"
2015,AL,"Combined Heat and Power, Industrial Power",Other Biomass,0
2015,AL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"3,033,555"
2015,AL,"Combined Heat and Power, Electric Power",Total,"5,332,204"
2015,AL,"Combined Heat and Power, Electric Power",Coal,0
2015,AL,"Combined Heat and Power, Electric Power",Natural Gas,"5,120,105"
2015,AL,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"212,099"
2015,AL,"Electric Generators, Independent Power Producers",Total,"35,059,831"
2015,AL,"Electric Generators, Independent Power Producers",Natural Gas,"35,006,295"
2015,AL,"Electric Generators, Independent Power Producers",Petroleum,"9,906"
2015,AL,"Electric Generators, Independent Power Producers",Other Biomass,"43,630"
2015,AL,"Electric Generators, Electric Utilities",Total,"107,868,476"
2015,AL,"Electric Generators, Electric Utilities",Coal,"41,311,033"
2015,AL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"9,861,804"
2015,AL,"Electric Generators, Electric Utilities",Natural Gas,"14,690,886"
2015,AL,"Electric Generators, Electric Utilities",Nuclear,"41,951,382"
